"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,0.166126,0.080061,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,0.223139,0.036896,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,0.696946,0.418680,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,0.692801,0.172345,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,0.959588,0.218147,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,0.724945,0.076464,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,1.173937,0.161103,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,1.414188,0.242054,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,1.543961,0.245536,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,1.871006,0.315048,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,2.196758,0.212623,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,2.121253,0.198405,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,2.388064,0.363704,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,2.464058,0.301376,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,2.921377,0.429282,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,2.692010,0.354570,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,3.450416,0.677140,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,3.494507,0.383600,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,4.181624,0.354567,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,3.548161,0.371107,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,4.400681,0.294860,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,4.403708,0.259933,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,4.454670,0.307670,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,4.898107,0.543458,"s/op"
"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"mytweety.lexicographic.PowerTimer.fibonacci","avgt",1,20,4.871928,0.501264,"s/op"
